,Age,Gender,Emotion,Ethnicity,Skin Colour,Eye Colour,Hair Colour,Nose Width,Nose Height,Eye Ave Width,Eye Area,Eye Spacing,Mouth Width,Lip Thickness,Face Area
0,26,Woman,happy,black,,black,black,2.419354838709677,4.2201834862385335,1.9758064516129032,12.7471383975026,7.016129032258066,4.919354838709677,2.9357798165137616,13516
1,32,Woman,happy,black,,brown,black,2.3846153846153846,3.931623931623931,2.0769230769230766,14.378698224852071,6.9230769230769225,5.0,2.9059829059829063,15210
2,31,Woman,neutral,black,,black,black,2.109375,4.528301886792453,2.03125,14.2822265625,6.953125,4.296875,2.2641509433962264,13568
3,29,Woman,happy,black,,grey,black,2.6984126984126986,4.260869565217392,2.023809523809524,13.652683295540438,6.984126984126984,5.396825396825397,3.130434782608696,14490
4,27,Woman,happy,black,,black,black,2.318840579710145,3.852459016393442,1.7753623188405798,8.36221382062592,6.376811594202898,5.0724637681159415,3.19672131147541,16836
5,29,Woman,happy,black,,grey,black,2.1739130434782608,3.613445378151261,1.6304347826086958,6.498109640831758,5.942028985507246,4.63768115942029,2.6890756302521006,16422
6,40,Man,neutral,white,,black,black,1.9285714285714288,4.2735042735042725,1.7857142857142858,10.20408163265306,6.142857142857142,4.0,1.623931623931624,16380
7,24,Man,fear,asian,,grey,black,1.9463087248322148,4.814814814814816,1.778523489932886,2.3872798522589083,5.906040268456375,3.355704697986577,1.2962962962962965,16092
8,26,Woman,happy,asian,,black,black,1.8571428571428568,4.23728813559322,1.75,7.5,6.071428571428571,4.0,2.372881355932204,16520
9,24,Man,neutral,indian,,black,black,2.047244094488189,4.2201834862385335,1.889763779527559,11.904023808047612,6.535433070866142,3.779527559055118,1.376146788990826,13843
10,29,Man,neutral,black,,black,black,2.4615384615384617,4.017857142857143,1.7307692307692308,9.319526627218936,6.307692307692308,4.0,1.9642857142857144,14560
11,23,Man,neutral,asian,,black,black,1.9444444444444444,4.495412844036697,1.7361111111111112,8.43942901234568,5.972222222222222,3.611111111111111,1.5596330275229358,15696
12,23,Man,neutral,asian,,black,black,2.054794520547945,3.96694214876033,1.6095890410958904,6.063520360292737,5.753424657534247,3.767123287671233,1.900826446280992,17666
13,37,Man,happy,asian,,black,black,2.083333333333333,4.132231404958678,1.7013888888888888,7.679880401234567,5.833333333333334,4.236111111111111,2.066115702479339,17424
14,18,Woman,happy,white,,black,brown,2.0422535211267605,4.722222222222221,1.7253521126760565,7.8977385439396945,5.985915492957746,3.9436619718309855,1.9444444444444444,15336
15,23,Man,neutral,black,,black,black,2.3484848484848486,4.0,1.856060606060606,11.248852157943068,6.363636363636362,4.090909090909091,2.1739130434782608,15180
16,28,Woman,neutral,asian,,black,black,2.116788321167883,4.4247787610619485,1.7518248175182485,10.22963397090948,6.131386861313869,3.7226277372262775,1.68141592920354,15481
17,38,Woman,happy,white,,black,brown,2.1323529411764706,4.260869565217392,1.7279411764705883,6.35272491349481,6.1764705882352935,4.632352941176472,2.0,15640
18,34,Man,neutral,asian,,black,black,1.9565217391304348,4.35897435897436,1.7028985507246377,8.637891199327871,5.72463768115942,3.4782608695652173,1.7094017094017095,16146
19,40,Man,sad,white,,black,black,1.8115942028985508,3.96694214876033,1.7753623188405798,10.935202688510817,5.942028985507246,3.6231884057971016,0.9917355371900828,16698
20,26,Man,neutral,latino hispanic,,black,black,2.027972027972028,4.166666666666667,1.748251748251748,9.78042936084894,5.944055944055942,3.916083916083916,1.6666666666666663,17160
21,33,Man,happy,indian,,black,black,2.48062015503876,4.336283185840708,1.8992248062015504,11.77813833303287,6.511627906976745,4.263565891472869,2.566371681415929,14577
22,24,Woman,sad,latino hispanic,,black,black,1.83206106870229,4.414414414414415,1.870229007633588,12.135073713653052,6.488549618320612,3.5877862595419847,2.1621621621621623,14541
23,27,Woman,happy,asian,,black,black,2.052980132450331,4.396551724137931,1.6225165562913908,6.984342791982808,5.695364238410597,3.9735099337748334,1.9827586206896552,17516
24,31,Man,happy,white,,black,black,2.307692307692308,3.931623931623931,1.7692307692307694,5.443786982248522,6.384615384615384,4.538461538461538,1.9658119658119653,15210
25,43,Woman,happy,white,,brown,brown,1.8248175182481752,4.375,1.8248175182481752,11.32186051467846,6.2773722627737225,4.306569343065694,2.0535714285714284,15344
26,40,Woman,angry,latino hispanic,,grey,blonde,1.7293233082706765,4.166666666666667,1.7669172932330826,10.628073944259144,6.015037593984963,3.834586466165413,2.0,15960
